text,class
I love this product!,positive
This is the worst service I've ever received.,negative
The food was delicious.,positive
The movie was disappointing.,negative
I can't wait to see you!,positive
I'm sorry I can't make it to the party.,negative
This book is amazing!,positive
I got into a car accident.,negative
I'm feeling really happy today.,positive
I'm so tired of this job.,negative
The weather is beautiful today.,positive
I'm not feeling well.,negative
I'm excited to start my new job!,positive
This traffic is terrible.,negative
I had a great time at the concert.,positive
I lost my wallet.,negative
